iter	Passed	Remaining
0	133	133600
1	135	67601
2	136	45466
3	138	34427
4	139	27813
5	141	23383
6	142	20221
7	143	17840
8	146	16088
9	147	14623
10	149	13407
11	150	12390
12	151	11526
13	153	10790
14	154	10152
15	155	9586
16	157	9081
17	158	8672
18	160	8284
19	162	7948
20	163	7625
21	164	7325
22	166	7061
23	167	6812
24	168	6579
25	169	6358
26	170	6158
27	172	5975
28	174	5831
29	175	5689
30	177	5543
31	178	5402
32	179	5270
33	181	5146
34	182	5026
35	183	4913
36	184	4808
37	186	4721
38	188	4636
39	189	4554
40	191	4475
41	192	4395
42	194	4320
43	195	4245
44	196	4172
45	197	4104
46	199	4046
47	201	3992
48	203	3940
49	204	3882
50	205	3828
51	207	3775
52	208	3719
53	209	3665
54	210	3614
55	211	3566
56	212	3522
57	214	3486
58	216	3453
59	217	3412
60	218	3370
61	220	3330
62	221	3293
63	222	3255
64	223	3217
65	224	3179
66	225	3144
67	228	3127
68	230	3108
69	231	3081
70	233	3054
71	234	3027
72	236	2999
73	237	2970
74	238	2944
75	239	2916
76	240	2888
77	242	2868
78	244	2848
79	246	2830
80	247	2808
81	249	2788
82	249	2761
83	251	2737
84	252	2715
85	253	2692
86	254	2670
87	255	2648
88	258	2641
89	259	2626
90	261	2608
91	262	2589
92	263	2574
93	265	2556
94	266	2538
95	267	2521
96	268	2502
97	269	2484
98	271	2470
99	272	2455
100	274	2443
101	275	2429
102	277	2413
103	278	2398
104	279	2382
105	280	2366
106	281	2350
107	282	2334
108	283	2319
109	284	2305
110	286	2297
111	288	2289
112	290	2276
113	291	2264
114	292	2253
115	294	2241
116	295	2226
117	296	2215
118	297	2203
119	298	2191
120	300	2181
121	301	2170
122	303	2165
123	305	2154
124	306	2144
125	307	2133
126	308	2120
127	309	2110
128	311	2099
129	312	2088
130	313	2077
131	314	2066
132	316	2062
133	317	2054
134	319	2046
135	320	2036
136	321	2027
137	323	2019
138	324	2010
139	325	2000
140	326	1990
141	327	1979
142	328	1969
143	330	1963
144	331	1955
145	333	1950
146	334	1942
147	336	1935
148	337	1926
149	338	1917
150	339	1909
151	340	1900
152	341	1892
153	343	1884
154	344	1879
155	346	1873
156	347	1868
157	349	1860
158	350	1855
159	352	1849
160	353	1840
161	354	1834
162	355	1826
163	357	1821
164	358	1816
165	361	1813
166	362	1810
167	364	1804
168	365	1798
169	367	1792
170	368	1785
171	369	1780
172	371	1774
173	372	1768
174	374	1766
175	376	1762
176	377	1756
177	379	1750
178	380	1744
179	381	1739
180	383	1734
181	384	1728
182	385	1722
183	387	1717
184	389	1714
185	391	1711
186	392	1706
187	394	1701
188	395	1696
189	396	1692
190	398	1687
191	399	1682
192	401	1677
193	403	1675
194	404	1671
195	406	1667
196	407	1662
197	409	1657
198	410	1651
199	411	1646
200	412	1641
201	414	1635
202	415	1630
203	417	1627
204	418	1623
205	420	1619
206	421	1614
207	422	1610
208	424	1604
209	425	1600
210	426	1595
211	428	1590
212	429	1586
213	430	1581
214	432	1578
215	433	1573
216	434	1569
217	436	1564
218	437	1559
219	438	1554
220	439	1550
221	441	1545
222	442	1541
223	443	1536
224	444	1532
225	446	1529
226	447	1524
227	449	1520
228	450	1517
229	452	1513
230	453	1509
231	454	1504
232	455	1500
233	457	1496
234	458	1492
235	460	1489
236	461	1485
237	462	1481
238	464	1477
239	465	1474
240	466	1470
241	468	1466
242	469	1463
243	471	1459
244	472	1455
245	474	1453
246	476	1451
247	478	1449
248	479	1446
249	480	1442
250	482	1438
251	483	1435
252	484	1431
253	486	1427
254	487	1423
255	489	1423
256	491	1420
257	493	1418
258	494	1415
259	496	1412
260	497	1408
261	498	1404
262	499	1400
263	500	1396
264	502	1392
265	503	1389
266	505	1387
267	507	1385
268	508	1382
269	509	1378
270	511	1375
271	512	1372
272	514	1370
273	515	1366
274	517	1364
275	519	1362
276	520	1359
277	522	1356
278	523	1352
279	524	1348
280	526	1346
281	527	1342
282	528	1338
283	529	1335
284	530	1331
285	532	1328
286	533	1325
287	534	1322
288	536	1319
289	537	1315
290	538	1312
291	539	1308
292	541	1306
293	542	1303
294	543	1299
295	545	1296
296	546	1292
297	547	1290
298	549	1287
299	550	1285
300	552	1282
301	553	1279
302	554	1276
303	556	1273
304	557	1269
305	558	1266
306	559	1262
307	560	1259
308	562	1257
309	563	1254
310	565	1251
311	566	1248
312	567	1245
313	568	1242
314	569	1239
315	571	1236
316	572	1232
317	573	1229
318	574	1226
319	575	1223
320	577	1221
321	578	1218
322	580	1215
323	581	1213
324	582	1210
325	584	1207
326	585	1205
327	586	1202
328	587	1198
329	588	1195
330	590	1194
331	592	1192
332	594	1190
333	595	1187
334	596	1184
335	598	1181
336	599	1179
337	600	1176
338	601	1173
339	603	1170
340	604	1167
341	605	1165
342	607	1163
343	608	1161
344	610	1159
